#Chrom	Start	End	Name	Oocyte	Sperm	2cell.GG	2cell.AG	Morula.GG	Morula.AG	ICM.GG	ICM.AG	TE.GG	TE.AG
chr1	3878000	3878600	mCHM_1	0.6443768996960486	0.7046263345195729	0.631578947368421	0.3333333333333333	0.7920792079207921	0.2857142857142857	0.624113475177305	0.27230046948356806	0.4875	0.1826086956521739
chr1	4921800	4922400	pCHM_1	0.3563218390804598	0.9804878048780488	0.7142857142857143	0.9217391304347826	0.5145985401459854	0.8783185840707964	0.4434782608695652	0.5572232645403377	0.43258426966292135	0.5700325732899023
chr1	5040400	5041000	pCHM_2	0.17534537725823593	0.7298013245033113	0.45985401459854014	0.5238095238095238	0.39664804469273746	0.46808510638297873	0.4090909090909091	0.49645390070921985	0.3474747474747475	0.581081081081081
chr1	5047000	5047600	pCHM_3	0.4913151364764268	0.8132664437012264	0.12714776632302405	0.41904761904761906	0.17073170731707318	0.8805194805194805	0.18620689655172415	0.3317757009345794	0.19823788546255505	0.35403726708074534
chr1	5071800	5073000	pCHM_4	0.19136960600375236	0.7009791614361034	0.021220159151193633	0.7408829174664108	0.0064516129032258064	0.7689655172413793	0.0797872340425532	0.44467532467532467	0.1278792692613185	0.627940470475276
chr1	5423200	5423800	mCHM_2	0.7709750566893424	0.7437934458788481	0.9021739130434783	0.3464052287581699	0.6907216494845361	0.9473684210526315	0.5793103448275863	0.4424778761061947	0.5371900826446281	0.46788990825688076
chr1	6012800	6013400	pCHM_5	0.41353383458646614	0.7657004830917874	0.5114155251141552	0.6504854368932039	0.445578231292517	0.5569620253164557	0.3333333333333333	0.30116959064327486	0.3263598326359833	0.3469945355191257
chr1	10805000	10806000	mCHM_3	0.9702780441035475	0.008707698396991885	0.9603174603174603	0.016551724137931035	0.8837209302325582	0.05244755244755245	0.6709075487701441	0.0618921308576481	0.5540915395284327	0.09753954305799649
chr1	13514300	13515200	pCHM_6	0.5379061371841155	0.5610088616223585	0.3026315789473684	1.0	0.06711409395973154	0.7587719298245614	0.32935560859188545	0.47477064220183485	0.21631878557874762	0.553030303030303
chr1	15020200	15020800	pCHM_7	0.2617230098146129	0.8481375358166189	0.30677290836653387	0.8407258064516129	0.43373493975903615	0.7777777777777778	0.40509915014164305	0.45149253731343286	0.36972972972972973	0.5921875
chr1	15862300	15863000	pCHM_8	0.5169811320754717	0.7609511889862328	0.37579617834394907	0.7307692307692307	0.5665859564164649	0.5151515151515151	0.18972332015810275	0.45472061657032753	0.3064066852367688	0.43509615384615385
chr1	15917600	15918200	pCHM_9	0.1853932584269663	0.9031847133757962	0.13229571984435798	1.0	0.18461538461538463	0.8654353562005277	0.2924187725631769	0.5300859598853869	0.12162162162162163	0.5304568527918782
chr1	16711600	16713700	pCHM_10	0.3203684749232344	0.8612517257248045	0.3617886178861789	0.8322147651006712	0.5345345345345346	0.85	0.4283783783783784	0.4423820572312452	0.3730964467005076	0.5325865580448065
chr1	17239200	17240000	pCHM_11	0.375	0.6892561983471074	0.13043478260869565	0.819672131147541	0.1743119266055046	0.6241610738255033	0.16167664670658682	0.23076923076923078	0.1511627906976744	0.15425531914893617
chr1	17685600	17686400	pCHM_12	0.5793413173652695	0.7834664161578205	0.7512953367875648	0.8111111111111111	0.7889125799573561	0.8389830508474576	0.49789915966386555	0.45663956639566394	0.2665684830633284	0.5053763440860215
chr1	17903400	17904200	pCHM_13	0.4336283185840708	0.7923050732039496	0.49775112443778113	0.6451612903225806	0.28654970760233917	0.5604801477377654	0.48086359175662413	0.3447814451382694	0.3543990086741016	0.5157185628742516
chr1	19009200	19009800	pCHM_14	0.26865671641791045	0.9025906735751296	0.4774774774774775	0.8716814159292036	0.5	1.0	0.3783783783783784	0.3498233215547703	0.3256880733944954	0.39461883408071746
chr1	19398600	19399200	pCHM_15	0.6872635561160151	0.7522522522522522	0.29723502304147464	0.8802308802308803	0.31385281385281383	0.790948275862069	0.4949640287769784	0.47335423197492166	0.4351145038167939	0.671067106710671
chr1	22061000	22061600	pCHM_16	0.28812260536398465	0.8289544235924933	0.45689655172413796	0.8870967741935484	0.43617021276595747	0.5441176470588235	0.39226519337016574	0.4386317907444668	0.4724220623501199	0.4336842105263158
chr1	22158000	22158600	pCHM_17	0.31511254019292606	0.8338727076591155	0.4537037037037037	0.8396946564885496	0.34759358288770054	0.7887323943661971	0.3574007220216607	0.3917808219178082	0.4222222222222222	0.5730337078651685
